tweet_id,screen_name,utc_date,pacific_time,source,favorites,retweets,lang,text,quote,place,latitude,longitude,media_type,media,tweet_type,original_tweet_id
1225381931568836610,xtp00,2020-02-06T11:33:13.000Z,"2/6/2020, 3:33:13 AM",Twitter for iPhone,0,0,ar,@FarohaM كل ابراج stc,,,,,,,reply,
1225381893408989184,_0ward,2020-02-06T11:33:04.000Z,"2/6/2020, 3:33:04 AM",Twitter for Android,0,40,ar,"RT @ins660 : 🎨 بيع حسابات انستقرام 🇸🇦 للبيع ⁦♥️⁩

👌مناسبة لل🎼 متاجر 🎼 حسابات شخصية ..

حساب للبيع 👌

⁦⁦♥️⁩⁩5 آلاف متابع 
⚫7 آلاف متابع 
⁦♥️⁩11 ألف متابع 

⁦📉⁩⁩ نقبل تحويل بنكي ع الاهلي والراجحي وشحن STC

⁦ للتواصل خاص فقط🎨 

#ماذا_يغضب_البنات https://t.co/f5mMpXaR7d",,,,,,,retweet,1225362827541721088
1225381877705408513,Stc_Kuhri,2020-02-06T11:33:00.000Z,"2/6/2020, 3:33:00 AM",Twitter Web Client,0,0,ja,"さっき吉野家行ったんですよ、吉野家。
店内で食うの嫌だから、テイクアウトするために。
そしたら人がいーっぱい
いや男ばかりいーーーーーーーっぱいだったんです。

おめぇらな、女性じゃなくても私でも怖くて吉野家入りにくいわｗ

あ、ただいま(・Д・)",,,,,,,tweet,
1225381780443869184,qadsawi1991,2020-02-06T11:32:37.000Z,"2/6/2020, 3:32:37 AM",Twitter for Android,0,7,ar,"RT @m_madridi : مواجهات نادي القادسية في شهر فبراير :
الكويت { STC } 6 فبراير ✈️
الرفاع البحريني { AFC } 11فبراير ✈️
اليرموك { STC } 15 فبراير 🏠
ظفار العماني{ AFC } 25فبراير 🏠#القادسية",,,,,,,retweet,1225169372437721088
1225381770926993408,MR_3BDAL77,2020-02-06T11:32:35.000Z,"2/6/2020, 3:32:35 AM",Twitter for Android,0,1,ar,"RT @3rbawei93 : غيابات العربي غداً أمام الساحل في دوري STC الممتاز :
1️⃣ عبدالله الشمالي (إيقاف بسبب تراكم البطاقات الصفراء)
2️⃣ مشاري الكندري (إصابة)
3️⃣ علي مقصيد https://t.co/vHMXfBh7BJ",,,,,,,retweet,1225381686705295360
1225381740505698305,bub_jp,2020-02-06T11:32:28.000Z,"2/6/2020, 3:32:28 AM",Shuttlerock - Bluebird,0,0,ja,"@popfactory_stc
ご参加ありがとうございます！

残念ながら【はずれ】でした😭
2/10(月)まで毎日チャレンジしてくださいね👍✨

お湯質までこだわった、プレミアム入浴剤
「#バブforSKIN 素肌うるおいタイプ」
詳細はこちら➡️https://t.co/pxBcOjsotn https://t.co/TFmBRU0KIP",,,,,photo,https://pbs.twimg.com/media/EQDHlWnWoAYpfSr.jpg ,tweet,
1225381737452064770,popfactory_stc,2020-02-06T11:32:27.000Z,"2/6/2020, 3:32:27 AM",Twitter for Android,0,6455,ja,"RT @bub_jp : ＼毎・日・参・加／

🎁合計3,000名様に🎁
「バブ for SKIN 素肌うるおいタイプ」１錠をプレゼント！

応募方法
①@bub_jpをフォロー
②このツイートを2/7(金)17:29までにRT
③結果がすぐ届く

応募規約⇒https://t.co/PWVkeJjFrE

#バブforSKIN
#濃厚とろみ乳白湯 https://t.co/yPUU7Luuj1",,,,,,,retweet,1225335922637574146
1225381709320986626,stccare_ksa,2020-02-06T11:32:20.000Z,"2/6/2020, 3:32:20 AM",Genesys Social Engagement.,0,0,ar,"@M3r5al مساء الخير محمد

عشان نقوم معاك بالواجب تواصل معنا على الخاص
يومك سعيد
https://t.co/8cd5h6bWrj",,,,,,,reply,
1225381686705295360,3rbawei93,2020-02-06T11:32:15.000Z,"2/6/2020, 3:32:15 AM",Twitter for Android,1,1,ar,"غيابات العربي غداً أمام الساحل في دوري STC الممتاز :
1️⃣ عبدالله الشمالي (إيقاف بسبب تراكم البطاقات الصفراء)
2️⃣ مشاري الكندري (إصابة)
3️⃣ علي مقصيد https://t.co/vHMXfBh7BJ",,,,,photo,https://pbs.twimg.com/media/EQFuIJEX0AIqf1S.jpg ,tweet,
1225381579981283331,CITC_withU,2020-02-06T11:31:49.000Z,"2/6/2020, 3:31:49 AM",Hootsuite Inc.,0,0,ar,"@al_zahrani071 @stc_ksa @CITC_SA أهلًا بك أ. أحمد، يسعدنا خدمتك من خلال رفع الشكوى ""عدم تفعيل الخدمة"" عبر موقعنا الإلكتروني:
 https://t.co/MqMKSJoiUi https://t.co/CrQJ90Hfch",,,,,photo,https://pbs.twimg.com/media/EQFuDOmW4AUg2QX.png ,reply,
